time	V(in)	V(out)
3.620433610114607e-003	3.795664e+000	2.434935e-001
3.639677401661902e-003	3.603226e+000	2.671326e-001
3.654025005666694e-003	3.459750e+000	2.887457e-001
3.659550929766735e-003	3.404491e+000	2.980256e-001
3.665076853866775e-003	3.349231e+000	3.085670e-001
3.670602777966816e-003	3.293972e+000	3.203699e-001
3.676128702066857e-003	3.238713e+000	3.334342e-001
3.681654626166898e-003	3.183454e+000	3.477600e-001
3.687180550266939e-003	3.128195e+000	3.633472e-001
3.692706474366980e-003	3.072935e+000	3.801959e-001
3.711729750990972e-003	2.882703e+000	4.583224e-001
3.728803373580656e-003	2.711966e+000	5.646099e-001
3.738659441041225e-003	2.613406e+000	6.670185e-001
3.744936464351645e-003	2.550635e+000	8.005016e-001
3.749614864074310e-003	2.503851e+000	1.008690e+000
3.754487669805332e-003	2.455123e+000	1.332634e+000
3.758164071349985e-003	2.418359e+000	1.598951e+000
3.762592356245946e-003	2.374076e+000	1.909557e+000
3.771448926037869e-003	2.285511e+000	2.496035e+000
3.784697122836227e-003	2.153029e+000	3.286910e+000
3.799155463377337e-003	2.008446e+000	3.990211e+000
3.818548244297646e-003	1.814518e+000	4.631305e+000
3.837543561078726e-003	1.624564e+000	4.939281e+000
3.852399845756767e-003	1.476002e+000	4.999155e+000
3.864357496507267e-003	1.356425e+000	4.999951e+000
3.945869805624034e-003	5.413020e-001	4.999951e+000
4.000000004000005e-003	4.440892e-015	5.000185e+000
4.001100678578807e-003	1.100675e-002	5.000095e+000
4.003302027736410e-003	3.302024e-002	5.000049e+000
4.069342502464497e-003	6.934250e-001	5.000049e+000
4.139785675507791e-003	1.397857e+000	4.984955e+000
4.168529076863514e-003	1.685291e+000	4.868038e+000
4.184423325042025e-003	1.844233e+000	4.591021e+000
4.199591308060957e-003	1.995913e+000	4.052510e+000
4.217275172409697e-003	2.172752e+000	3.127355e+000
4.247003111830338e-003	2.470031e+000	1.262669e+000
4.255200599959280e-003	2.552006e+000	8.164948e-001
4.259542188614387e-003	2.595422e+000	6.841232e-001
4.262838457096828e-003	2.628385e+000	6.363925e-001
4.266780983400249e-003	2.667810e+000	5.937290e-001
4.273070446378985e-003	2.730704e+000	5.408725e-001
4.281601575930524e-003	2.816016e+000	4.853671e-001
4.290554723196510e-003	2.905547e+000	4.413509e-001
4.306328836642141e-003	3.063288e+000	3.835010e-001
4.323243657079803e-003	3.232436e+000	3.353168e-001
4.332302539298116e-003	3.323025e+000	3.144857e-001
4.346189381773525e-003	3.461894e+000	2.883757e-001
4.351344858537317e-003	3.513449e+000	2.799651e-001
4.356500335301108e-003	3.565003e+000	2.720277e-001
4.361655812064900e-003	3.616558e+000	2.645636e-001
4.366811288828691e-003	3.668113e+000	2.575727e-001
4.371966765592482e-003	3.719668e+000	2.510552e-001
4.377122242356274e-003	3.771222e+000	2.450109e-001
4.382277719120065e-003	3.822777e+000	2.394398e-001
4.407319926047780e-003	4.073199e+000	2.154723e-001
4.449915590144579e-003	4.499156e+000	1.839253e-001
4.500000004100007e-003	5.000000e+000	1.545529e-001
4.500000051028599e-003	5.000000e+000	1.545523e-001
4.500000097957191e-003	4.999999e+000	1.545516e-001
4.500000144885782e-003	4.999999e+000	1.545510e-001
4.500000191814374e-003	4.999998e+000	1.545504e-001
4.500000238742965e-003	4.999998e+000	1.545498e-001
4.500000285671557e-003	4.999997e+000	1.545492e-001
4.500000332600149e-003	4.999997e+000	1.545486e-001
4.500001315640571e-003	4.999987e+000	1.545389e-001
4.500002626361134e-003	4.999974e+000	1.545304e-001
4.500005247802261e-003	4.999948e+000	1.545217e-001
4.500010490684514e-003	4.999895e+000	1.545168e-001
4.500020976449019e-003	4.999790e+000	1.545187e-001
4.517222018304478e-003	4.827780e+000	1.628011e-001
4.534423060159938e-003	4.655769e+000	1.725592e-001
4.551624102015397e-003	4.483759e+000	1.837932e-001
4.568825143870856e-003	4.311749e+000	1.965030e-001
4.586026185726315e-003	4.139738e+000	2.106885e-001
4.603227227581774e-003	3.967728e+000	2.263498e-001
4.620428269437233e-003	3.795717e+000	2.434869e-001
4.639671779834283e-003	3.603282e+000	2.671245e-001
4.654030612159654e-003	3.459694e+000	2.887556e-001
4.659633024955453e-003	3.403670e+000	2.981536e-001
4.665235437751253e-003	3.347646e+000	3.088652e-001
4.670837850547053e-003	3.291622e+000	3.208903e-001
4.676440263342853e-003	3.235598e+000	3.342289e-001
4.682042676138653e-003	3.179573e+000	3.488811e-001
4.687645088934453e-003	3.123549e+000	3.648468e-001
